open,low,high,close,volume,weighted_sentiment,returns,volatility,rsi,ma_7,ma_30,regime
24377.16,24207.54,25235.28,25051.85,20754.42573365,0.4341309905052185,0.027677137123438333,0.03304609279089564,58.80332073659246,23068.765714285717,23256.762000000002,1
25052.11,24946.86,27834.54,27453.62,40752.19373629,0.0564827899138132,0.0958719615517416,0.03807938090546473,74.76857117858081,24100.7,23360.914666666667,1
27453.75,26652.45,27780.0,26980.35,18096.24372219,0.6123118796409704,-0.017238892357364866,0.03821726823426103,71.52780748762572,25009.244285714285,23476.388,1
26980.35,26904.0,28478.0,28054.46,16897.41761964,-0.0774565858500344,0.039810825285809814,0.038703122835783386,73.93360812839362,25842.87,23592.283333333333,1
28058.15,27218.36,28578.63,27823.32,23782.6567676,-0.3051599341630935,-0.00823897519324912,0.03796873924707429,72.64238154078339,26357.63,23698.51966666667,1
27822.85,27414.77,28605.32,28207.33,16193.18924882,0.20467671967215,0.01380173178470434,0.03792938321696308,74.77784329653745,26849.727142857148,23829.387,1
28201.22,26678.16,28937.73,27325.15,33974.43697526,0.3684672178966658,-0.031274849480613764,0.038751731982703715,72.49358785754491,27270.868571428575,23912.059666666668,1
27324.05,27189.19,28839.68,28352.94,26698.29660165,0.3364279596701912,0.03761333423604252,0.039186622923106845,82.71862798520152,27742.45285714286,24042.01,1
28352.95,27027.88,28433.34,27489.24,22190.91292623,-0.0019446896655219,-0.030462449396782,0.03972351270758946,78.06943464865066,27747.54142857143,24152.17,1
27489.24,27184.78,27818.67,27488.18,9655.9494554,0.318482586499807,-3.856054223405625e-05,0.03965455005003186,77.38005249846108,27820.088571428572,24270.332000000002,1
27489.56,27445.04,28230.32,27992.9,9800.64299441,0.3381024385492007,0.018361346586059923,0.03960312851396887,75.21869403799955,27811.294285714284,24430.53266666667,1
27995.27,26525.0,28053.26,27142.87,17268.16335715,-0.146564048230648,-0.03036591421396151,0.03871388806236685,64.19336072746272,27714.087142857144,24563.304666666667,1
27142.85,26640.0,27519.99,27274.15,14103.92919115,0.0383873531895299,0.004836629287912508,0.038675253150747865,62.703282874265064,27580.77571428572,24687.215333333334,1
27274.18,27255.42,28654.06,28359.54,17710.8595857,0.44731301556934,0.03979555733175921,0.03915755821249265,68.81118246900844,27728.545714285716,24849.549333333332,1
28359.54,27693.7,29190.04,28035.48,20972.43924037,0.7011175303689895,-0.011426842607461185,0.03934849162973347,64.57632070318951,27683.194285714282,25012.554666666667,1
28034.88,27512.97,28650.2,28474.4,18917.3621471,0.1389983266592025,0.015655876054200046,0.03913929789174595,56.17034549292404,27823.93142857143,25173.984,1
28475.41,28223.76,28826.45,28471.46,6988.04239657,0.1139498126048308,-0.00010325063917071553,0.03856387727968043,59.556767884450466,27964.4,25340.757999999998,1
28471.03,27862.69,28544.21,28188.34,6707.97702984,0.5023463745911916,-0.00994399303723792,0.03562293763422589,50.95487522716445,27992.320000000003,25535.096666666668,1
28188.34,27227.61,28525.0,27811.77,16192.03702141,0.0281140666741591,-0.013359069743021368,0.03581779597196947,49.91929589687763,28087.87714285714,25717.124000000003,1
27809.55,27670.24,28450.0,28179.64,13261.95025317,0.366589460340706,0.013227133691958493,0.03579976234330182,49.806082388022894,28217.23285714286,25908.689,1
28178.66,27817.32,28799.99,28175.37,15066.72449529,0.4150993463065889,-0.00015152784066796432,0.033194672091496305,56.78902921242084,28190.922857142858,26100.857666666667,1
28175.27,27716.77,28199.11,28053.46,10291.80646097,0.0310666185436826,-0.004326828716002651,0.028631737200100666,47.20417338830138,28193.49142857143,26296.023666666668,1
28052.74,27790.21,28120.71,27931.94,5847.77200458,0.33628798229941,-0.004331729490765102,0.02850680351654026,54.79770941074977,28115.99714285714,26503.809333333335,1
27930.12,27881.01,28175.89,27958.81,3854.33490363,0.394644417365392,0.000961981158487557,0.02817572637826889,55.07202331300773,28042.761428571426,26756.869333333336,1
27958.19,27814.0,28547.67,28340.99,6136.4286229,0.454906538426876,0.013669394369788979,0.027852511683462124,53.85317018417375,28064.56857142857,27027.233,1
28342.28,28162.49,29794.47,29660.41,15752.30418782,0.3688519497712453,0.04655518385208124,0.022127144327779704,75.24446886681959,28328.66,27328.562,0
29657.7,29612.3,30584.58,30227.19,18637.22157812,0.4170853954774361,0.01910897388134547,0.021891512689046606,77.23292178641117,28621.16714285714,27595.499,0
30227.18,29675.0,30517.0,29912.2,14961.08403219,0.3982633719318791,-0.010420750324459438,0.020789559683296276,66.69017203348653,28869.285714285714,27785.238999999998,0
